,fidelity,radius,thickness,npanels,theta,length,height,z_offset,volume,nC_Ge77,prod_rate_Ge77[nuc/(kg*yr)],total_nC_Ge77[cts],nC_Ge77_scaling,time_0[ms],x_0[m],y_0[m],z_0[m],r_0[m],L_0[m],px_0[m],py_0[m],pz_0[m],ekin_0[eV],edep_0[eV],vol_0,time_t[ms],x_t[m],y_t[m],z_t[m],r_t[m],L_t[m],px_t[m],py_t[m],pz_t[m],ekin_t[eV],edep_t[eV],ln(E0vsET),vol_t,nsteps,nC_A,nC_Z,nsec,nsec_with_nC,nprimaries,weights
4487,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.28386542,-2.09194722,0.43707809,2.4544966058109563,2.493108670855636,-0.857378668,0.47493925,-0.198329342,1346884.43,0.0,7.0,51.4670641,1.04003222,-1.61973827,0.47900127,1.924894563850374,1.9835980688139248,-0.0,-0.0,0.0,0.0,0.0,30.23140030460017,7.0,24,41,18,1,0,1.0,4e-05
4488,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.20543063,0.22076464,1.69,2.216452410952359,2.787249771731361,0.31207454,-0.69893116,-0.64350968,90554466.73659356,0.0,7.0,0.01045914,-1.72637411,-0.65438814,0.8943753,1.846237093509648,2.0514625472333248,0.0,-0.0,-0.0,0.0,0.0,34.439557720987274,7.0,6,0,0,8,0,1.0,4e-05
4489,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.59896152,-1.91445116,-0.51699611,2.0059606542666923,2.071512279524596,-0.66608553,-0.0675113,0.74281376,32821910.69057206,0.0,7.0,0.00012307,0.59263053,-1.91509284,-0.50993583,2.0046923781237225,2.068532349668512,-0.0,-0.0,0.0,0.0,0.0,33.42470251015299,7.0,2,0,0,4,0,1.0,4e-05
4490,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.71289323,-0.21632182,-1.93044767,1.7264988697326,2.589869987817221,0.81857336,-0.28285677,0.49992969,11197669.25669399,0.0,7.0,0.00342784,-1.58417309,-0.26080087,-1.85183404,1.6054972665417109,2.4508999948132577,0.0,-0.0,0.0,0.0,0.0,32.349311863486506,7.0,2,0,0,2,0,1.0,4e-05
4491,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.73396022,0.07942022,-1.3144755,1.7357781009931244,2.177331269234782,-0.282657293,-0.698805438,0.657096503,1451749.26,0.0,7.0,51.3028188,-0.62802451,1.9890186,0.16355576,2.085811539019453,2.092214201016683,0.0,0.0,-0.0,0.0,0.0,30.30637542446285,7.0,42,41,18,1,0,1.0,4e-05
4492,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.24450194,0.30282132,1.02355298,0.3892068222812981,1.0950537216854643,0.710417018,-0.10292269,0.69621446,1900547.73,0.0,11.0,0.0394726,0.44295573,0.74669326,1.47583832,0.8681938742408061,1.7122673126733696,0.0,0.0,0.0,0.0,0.0,30.57574833249797,11.0,7,0,0,2,0,1.0,4e-05
4493,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.49598807,0.45351135,1.76348497,0.6720689772345897,1.887208507181188,0.72395693,-0.68245975,0.10067297,864176.41294383,0.0,5.0,23.4387626,2.44388123,-2.33807914,2.1968034,3.3821841362127896,4.033003187390386,-0.0,-0.0,-0.0,0.0,0.0,29.787627859550227,3.0,4,2,1,1,0,1.0,4e-05
4494,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.05934726,1.47496659,1.6073282,2.533068806583377,2.999990253550997,-0.67716999,-0.28725853,0.67743881,1947613.96317426,0.0,7.0,0.00089758,-2.06084543,1.47389283,1.60973205,2.5336621638800416,3.001779677703628,0.0,0.0,-0.0,0.0,0.0,30.6002112236494,7.0,3,0,0,2,0,1.0,4e-05
4495,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.97267792,-1.35145947,1.54094216,1.665096103865542,2.2687105975804127,-0.10174004,0.986388,0.1291808,27172630.31716073,0.0,7.0,0.00876423,-1.04855378,-0.75513654,1.63743774,1.2921672583669113,2.085880767438965,-0.0,0.0,0.0,0.0,0.0,33.2358164372872,7.0,3,0,0,5,0,1.0,4e-05
4496,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.98120023,-0.20047493,-1.92102809,1.9913172898638123,2.766892385236478,0.810511995,-0.583344922,-0.0527163,612518.849,0.0,7.0,15.805032,-3.26645851,0.39157024,-1.7486982,3.289844745638474,3.725724606715896,-0.0,0.0,0.0,0.0,0.0,29.443430645763385,3.0,38,158,64,1,0,1.0,4e-05
